Наименование / ФИО,Тип субъекта,Категория,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Нематериальные активы 2024,Нематериальные активы 2023,Основные средства 2024,Основные средства 2023,Доходные вложения 2024,Доходные вложения 2023,Доход 2024,Доход 2023,Амортизация НМА(приблизительно),Амортизация вся(приблизительно),ebita,ebitda
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВАРТЕТ-СЕРВИС""",Юридическое лицо,Среднее предприятие,1106014816,41.20 Строительство жилых и нежилых зданий,11 - Республика Коми,,г Усинск,,0,0,38108,48993,0,0,6692,745400,0,0,6692,-4193
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВАРЦ""",Юридическое лицо,Малое предприятие,7710521804,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,3639,249,0,0,9798,314539,0,3390,9798,13188
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВЕЛТИ""",Юридическое лицо,Малое предприятие,5261096810,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,г Нижний Новгород,,0,0,5383,2197,0,0,7609,193681,0,3186,7609,10795
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВИН-СТРОЙ""",Юридическое лицо,Малое предприятие,6211005418,41.20 Строительство жилых и нежилых зданий,62 - Рязанская область,Пронский р-н,г Новомичуринск,,1855,2516,4607,4364,43147,45605,-390,101930,0,0,-1051,-3266
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВИНТА ПЛЮС""",Юридическое лицо,Малое предприятие,268055490,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,,г Стерлитамак,,2695,2895,25149,10730,32091,25788,-467,37790,0,20522,-667,20055
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВОЛИТ-СТРОЙ""",Юридическое лицо,Малое предприятие,5262292984,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,г Нижний Новгород,,0,0,0,0,0,38070,-193,990407,0,0,-193,-38263
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КГС""",Юридическое лицо,Малое предприятие,7447195994,41.20 Строительство жилых и нежилых зданий,74 - Челябинская область,,г Челябинск,,0,0,13590,11321,0,0,6990,122229,0,2269,6990,9259
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КД СТРОЙСЕРВИС""",Юридическое лицо,Малое предприятие,3904072830,41.20 Строительство жилых и нежилых зданий,39 - Калининградская область,Зеленоградский р-н,,п Заостровье,13178,5850,46405,20929,70292,57850,-1493,137134,7328,45246,5835,43753
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КДК-ГРУПП""",Юридическое лицо,Малое предприятие,7805606534,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,0,0,10278,17107,0,0,-8225,355,0,0,-8225,-15054
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЕМЕРОВОГРАЖДАНСТРОЙ""",Юридическое лицо,Малое предприятие,4205051081,41.20 Строительство жилых и нежилых зданий,42 - Кемеровская область,,г Кемерово,,0,0,21293,39356,0,0,-45181,366414,0,0,-45181,-63244
