Наименование / ФИО,Тип субъекта,Категория,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Нематериальные активы 2024,Нематериальные активы 2023,Основные средства 2024,Основные средства 2023,Доходные вложения 2024,Доходные вложения 2023,Доход 2024,Доход 2023,Амортизация НМА(приблизительно),Амортизация вся(приблизительно),ebita,ebitda
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРБАТ""",Юридическое лицо,Малое предприятие,7729787117,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,467,524,8582,6696,-1361,48762,0,1829,-1361,468
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРБИТА-СТРОЙ""",Юридическое лицо,Малое предприятие,6027052800,41.20 Строительство жилых и нежилых зданий,60 - Псковская область,,г Псков,,108,163,126186,102339,135227,116487,-656,104170,0,42532,-711,41876
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРБИТА""",Юридическое лицо,Малое предприятие,7715680886,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,595,1783,1929,1243,159838,193632,-9257,121757,0,0,-10445,-43553
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРБИТА""",Юридическое лицо,Малое предприятие,4205330494,41.20 Строительство жилых и нежилых зданий,42 - Кемеровская область,,г Кемерово,,0,0,97278,12728,97594,22621,-2276,130888,0,159523,-2276,157247
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРГ-РЕСУРСЫ""",Юридическое лицо,Среднее предприятие,4004021545,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,Дзержинский р-н,г Кондрово,,0,0,0,0,0,0,6453,979089,0,0,6453,6453
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРГАНИЗАЦИЯ ПРОМЫШЛЕННОГО УПРАВЛЕНИЯ СТРОИТЕЛЬСТВОМ""",Юридическое лицо,Малое предприятие,6165227879,41.20 Строительство жилых и нежилых зданий,61 - Ростовская область,,г Ростов-на-Дону,,0,0,58372,45052,0,0,10571,296225,0,13320,10571,23891
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРГМЕТСТРОЙ""",Юридическое лицо,Малое предприятие,7726393851,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,12,39,0,0,166,85397,0,0,166,139
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРГРЭС""",Юридическое лицо,Малое предприятие,7723428577,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Красногорск,,0,0,129,0,0,0,88258,170936,0,129,88258,88387
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРЕЛ-РЕКОНСТРУКЦИЯ-СТРОЙ""",Юридическое лицо,Малое предприятие,5752071920,41.20 Строительство жилых и нежилых зданий,57 - Орловская область,,г Орёл,,820,856,21506,12007,23285,13343,-591,74826,0,19405,-627,18814
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРЕЛДОРМОСТ""",Юридическое лицо,Малое предприятие,5720016317,41.20 Строительство жилых и нежилых зданий,57 - Орловская область,Орловский р-н,,,0,0,31871,37431,0,0,8145,142280,0,0,8145,2585
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРИОН СТРОЙ""",Юридическое лицо,Малое предприятие,7731293115,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,0,0,0,0,2775,341648,0,0,2775,2775
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРИОН""",Юридическое лицо,Малое предприятие,2130007836,41.20 Строительство жилых и нежилых зданий,21 - Чувашская Республика - Чувашия,,г Чебоксары,,53960,25985,116858,118226,210023,201423,-1070,90370,27975,35207,26905,34137
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРИОН""",Юридическое лицо,Малое предприятие,2015001931,41.20 Строительство жилых и нежилых зданий,20 - Чеченская Республика,,г Грозный,,0,0,28293,21209,0,0,5250,1060414,0,7084,5250,12334
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРИОН""",Юридическое лицо,Среднее предприятие,7714956556,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,128,145,9768,1914368,0,0,12205,467069,0,0,12188,-1892412
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРИОН""",Юридическое лицо,Малое предприятие,9718198040,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,1461,1036,3388,3262,-10,148782,0,551,-10,541
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРИОНСТРОЙ""",Юридическое лицо,Малое предприятие,6320039520,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,,г Тольятти,,0,0,37782,21966,50721,42012,-323,234647,0,24525,-323,24202
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРИССТРОЙ""",Юридическое лицо,Малое предприятие,2222898269,41.20 Строительство жилых и нежилых зданий,22 - Алтайский край,,г Барнаул,,50,67,65118,39994,68913,47528,-1118,192699,0,46492,-1135,45374
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРТОСТ-ФАСАД""",Юридическое лицо,Среднее предприятие,7728592323,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,15413,22998,0,0,8123,1880822,0,0,8123,538
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРТУС""",Юридическое лицо,Среднее предприятие,2016003057,41.20 Строительство жилых и нежилых зданий,20 - Чеченская Республика,,г Грозный,,0,0,10450,8945,0,0,3565,969345,0,1505,3565,5070
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРТЭКС""",Юридическое лицо,Малое предприятие,1649005395,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,0,308470,0,0,-3250,3497,0,0,-3250,-311720
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСК-СТРОЙ""",Юридическое лицо,Малое предприятие,7805388815,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,992,992,10149,10226,16614,15913,-667,2896,0,624,-667,-43
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСКАР СБ""",Юридическое лицо,Малое предприятие,6367002405,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,,г Самара,,0,0,251,300,0,0,2571,102614,0,0,2571,2522
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСКО-ХАУС""",Юридическое лицо,Малое предприятие,7804320684,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,3599,7611,130387,179013,198813,291262,-241,18823,0,0,-4253,-145328
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСКОЛЬСКАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,3128091409,41.20 Строительство жилых и нежилых зданий,31 - Белгородская область,,г Старый Оскол,,25075,36561,118539,48157,151677,145325,-3514,190835,0,65248,-15000,61734
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСНОВА""",Юридическое лицо,Малое предприятие,261021380,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,Ишимбайский р-н,г Ишимбай,,0,0,18116,17863,0,0,6064,169043,0,253,6064,6317
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСНОВА""",Юридическое лицо,Малое предприятие,9710027483,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,59710,25141,0,0,16128,776726,0,34569,16128,50697
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСНОВА""",Юридическое лицо,Малое предприятие,7811726780,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,п Парголово,174,211,313874,180919,314218,322366,-3203,215678,0,124770,-3240,121567
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСНОВА""",Юридическое лицо,Малое предприятие,1435307046,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),,г Якутск,,0,0,349905,171594,0,0,56137,721355,0,178311,56137,234448
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСНОВАНИЯ МОСТОВ""",Юридическое лицо,Среднее предприятие,7713191304,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,0,17260,0,0,-17231,7774,0,0,-17231,-34491
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСНОВНАЯ ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,7602096366,41.20 Строительство жилых и нежилых зданий,76 - Ярославская область,,г Ярославль,,0,0,29447,27325,0,0,18333,513205,0,2122,18333,20455
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСОБСТРОЙ-2""",Юридическое лицо,Малое предприятие,5027212932,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Лыткарино,,10683,9768,804,52,102347,91094,-1737,52446,915,12920,-822,11183
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСТАЗ""",Юридическое лицо,Малое предприятие,1639009457,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Набережные Челны,,0,10,0,0,0,0,-5,5732,0,0,-15,-15
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСТОВ""",Юридическое лицо,Малое предприятие,6501117716,41.20 Строительство жилых и нежилых зданий,65 - Сахалинская область,,г Южно-Сахалинск,,0,0,53071,63240,0,0,32049,611360,0,0,32049,21880
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОТДЕЛ-СТРОЙ""",Юридическое лицо,Малое предприятие,6025025368,41.20 Строительство жилых и нежилых зданий,60 - Псковская область,,г Великие Луки,,13,13,8407,188,8560,324,-2429,58917,0,16455,-2429,14026
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОТДЕЛКА-Л""",Юридическое лицо,Малое предприятие,4825147690,41.20 Строительство жилых и нежилых зданий,48 - Липецкая область,,г Липецк,,11196,10784,124225,22722,396271,87482,-4627,173674,412,410704,-4215,406077
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОТДЕЛКАМАСТЕР""",Юридическое лицо,Среднее предприятие,5007081135,41.20 Строительство жилых и нежилых зданий,50 - Московская область,Дмитров г,,с Озерецкое,0,0,329292,267396,0,0,17758,609265,0,61896,17758,79654
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОТДЕЛОЧНО-СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,7810795252,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,0,0,11362,16009,0,0,58683,516360,0,0,58683,54036
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОТДЕЛПРОМ""",Юридическое лицо,Малое предприятие,2130092711,41.20 Строительство жилых и нежилых зданий,21 - Чувашская Республика - Чувашия,,г Чебоксары,,0,0,93654,64649,99721,80950,-3787,80309,0,47776,-3787,43989
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОТДЕЛСТРОЙ - 20""",Юридическое лицо,Малое предприятие,7727181240,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,183,578,269976,205320,295853,235439,-8409,167147,0,124675,-8804,116266
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОТДЕЛСТРОЙ""",Юридическое лицо,Малое предприятие,5260011099,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,г Нижний Новгород,,848,1552,11121,31570,14725,46560,-458,111341,0,0,-1162,-53446
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОТДЕЛСТРОЙ""",Юридическое лицо,Малое предприятие,6612031983,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,г Каменск-Уральский,,0,0,1883,103,0,0,1750,93322,0,1780,1750,3530
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОТДЫХ-СЕРВИС КРЫМ""",Юридическое лицо,Среднее предприятие,9108000348,41.20 Строительство жилых и нежилых зданий,91 - Республика Крым,,г Феодосия,,0,0,30633,35106,0,0,14797,486595,0,0,14797,10324
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОФИС-СТИЛЬ""",Юридическое лицо,Малое предприятие,1215119495,41.20 Строительство жилых и нежилых зданий,12 - Республика Марий Эл,Медведевский р-н,,пгт Медведево,0,0,3032,14551,0,0,-17820,88353,0,0,-17820,-29339
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОФФ-КОНСТРАКШН""",Юридическое лицо,Среднее предприятие,7100014708,41.20 Строительство жилых и нежилых зданий,71 - Тульская область,,г Тула,,0,0,0,0,0,0,-2694,1064641,0,0,-2694,-2694
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОХВАТ-НСК""",Юридическое лицо,Малое предприятие,5406825393,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,,г Новосибирск,,0,0,13460,3274,0,0,18622,1818499,0,10186,18622,28808
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОХВАТПИТЕРСТРОЙ""",Юридическое лицо,Малое предприятие,5406825516,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,,г Новосибирск,,0,0,8861,10360,0,0,40858,1673822,0,0,40858,39359
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОХВАТСИБМОНТАЖ""",Юридическое лицо,Малое предприятие,5406825428,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,,г Новосибирск,,0,0,6005,2686,0,0,66483,4990472,0,3319,66483,69802
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОХОТНО-СТРОЙ""",Юридическое лицо,Малое предприятие,3245007217,41.20 Строительство жилых и нежилых зданий,32 - Брянская область,Брасовский р-н,,с Брасово,10384,10737,340612,321820,386352,396231,-173,151017,0,8560,-526,8387
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОХРАНА""",Юридическое лицо,Малое предприятие,7816476767,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,110,594,21504,19166,66376,58407,-214,71851,0,9823,-698,9609
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАВЛОВСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №18 ""ВОДСТРОЙ""",Юридическое лицо,Малое предприятие,3620014376,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,Павловский р-н,г Павловск,,0,0,54216,47902,0,0,14142,205175,0,6314,14142,20456
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАВЛОВСКОЕ МОНТАЖНОЕ УПРАВЛЕНИЕ""",Юридическое лицо,Малое предприятие,3620011738,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,Павловский р-н,,п Заосередные Сады,7512,7889,5221,5097,15190,13977,-396,12715,0,960,-773,564
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАЙНВУД""",Юридическое лицо,Малое предприятие,7707729707,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,16,170556,3485,218422,182839,-16172,101446,0,202638,-16188,186466
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАЛЬМИРА""",Юридическое лицо,Малое предприятие,6141046200,41.20 Строительство жилых и нежилых зданий,61 - Ростовская область,,г Батайск,,0,0,2005,94721,2083,98285,-95323,14907,0,0,-95323,-284241
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАОЛА-СК""",Юридическое лицо,Среднее предприятие,7728188311,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,1364,801,0,0,51760,2065011,0,563,51760,52323
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРАПЕТСТРОЙ""",Юридическое лицо,Малое предприятие,3811142280,41.20 Строительство жилых и нежилых зданий,38 - Иркутская область,,г Иркутск,,0,0,11163,13807,0,0,11300,505063,0,0,11300,8656
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРИТЕТ""",Юридическое лицо,Малое предприятие,4205069071,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,,г Новосибирск,,0,0,3,322,0,0,-1059,15973,0,0,-1059,-1378
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРИТЕТ""",Юридическое лицо,Малое предприятие,7451236548,41.20 Строительство жилых и нежилых зданий,74 - Челябинская область,,г Челябинск,,0,0,57804,54597,0,0,6738,211842,0,3207,6738,9945
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРИТЕТ""",Юридическое лицо,Малое предприятие,7840092218,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,31042,46281,0,0,-44241,1969260,0,0,-44241,-59480
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРК-СИТИ""",Юридическое лицо,Малое предприятие,7704414716,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,367652,373913,369978,376138,-98,306784,0,0,-98,-12519
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРМА""",Юридическое лицо,Малое предприятие,5903113300,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,Пермский р-н,,д Кондратово,1094,1480,81330,77908,0,0,-9922,1703514,0,3036,-10308,-6886
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРСЕК""",Юридическое лицо,Малое предприятие,1650053957,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Набережные Челны,,19640,9901,2645,3837,40216,24480,-98,75057,9739,24283,9641,24185
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРТИЗАНСКАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,2430003448,41.20 Строительство жилых и нежилых зданий,24 - Красноярский край,Партизанский р-н,,с Партизанское,0,0,3130,7602,0,0,8173,66016,0,0,8173,3701
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРТНЕР МАСТЕР""",Юридическое лицо,Малое предприятие,7724319789,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,2244,4096,109498,106435,192821,194071,-61,18774,0,0,-1913,-100
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРТНЕР ЮГ""",Юридическое лицо,Малое предприятие,6161074477,41.20 Строительство жилых и нежилых зданий,61 - Ростовская область,,г Ростов-на-Дону,,1212,0,159778,166060,273366,250502,-1550,621916,1212,17794,-338,16244
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРТНЁР-ГАЗ""",Юридическое лицо,Малое предприятие,7418021129,41.20 Строительство жилых и нежилых зданий,74 - Челябинская область,,г Троицк,,59996,66631,75899,29666,138728,111775,-850,55749,0,66551,-7485,65701
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРТНЕР-СИТИ""",Юридическое лицо,Малое предприятие,2352053777,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,Темрюкский р-н,г Темрюк,,0,0,118960,94440,0,0,18293,173156,0,24520,18293,42813
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРТНЕР""",Юридическое лицо,Малое предприятие,2464246819,41.20 Строительство жилых и нежилых зданий,24 - Красноярский край,,г Красноярск,,0,0,9446,9922,0,0,78050,1288590,0,0,78050,77574
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРТНЕР""",Юридическое лицо,Малое предприятие,7727765140,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,г Щербинка,,425,676,3666,4487,22105,26115,-189,38153,0,0,-440,-5271
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРТНЕР""",Юридическое лицо,Малое предприятие,2130141422,41.20 Строительство жилых и нежилых зданий,21 - Чувашская Республика - Чувашия,,г Чебоксары,,28472,32760,31512,1822,64308,78461,-2309,110097,0,11249,-6597,8940
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРТНЕРТЕХНОКОМПЛЕКТ""",Юридическое лицо,Малое предприятие,7801316190,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,205,277,66057,65346,102487,101784,-1,6251,0,1342,-73,1341
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРТНЕРТРАНСГРУПП""",Юридическое лицо,Малое предприятие,278205674,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,,г Уфа,,0,0,581844,405549,0,0,-31320,356994,0,176295,-31320,144975
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРУС-СТРОЙ""",Юридическое лицо,Малое предприятие,5407494810,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,,г Новосибирск,,18507,6846,80209,117604,156332,181104,-5317,177922,11661,0,6344,-55823
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРУС""",Юридическое лицо,Малое предприятие,3601008024,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,Аннинский р-н,,пгт Анна,0,0,1416,2239,0,0,-4153,53991,0,0,-4153,-4976
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРУС""",Юридическое лицо,Малое предприятие,9723036774,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,413,0,30735,7841,0,0,39099,893093,413,23307,39512,62406
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРУС""",Юридическое лицо,Малое предприятие,9723150685,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,923,923,0,0,35,28055,0,0,35,35
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАСЕ СТРОЙ""",Юридическое лицо,Малое предприятие,7722498853,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,114,299,10922,29123,45738,66822,-104,260520,0,0,-289,-39574
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАЧОЛИ ИНЖИНИРИНГ""",Юридическое лицо,Малое предприятие,1655283697,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Казань,,18899,18899,2571,6964,0,0,4857,181548,0,0,4857,464
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПГП-СТРОЙ""",Юридическое лицо,Малое предприятие,5903110050,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,,г Пермь,,0,0,37961,12101,0,0,184709,831568,0,25860,184709,210569
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕЛОРУС""",Юридическое лицо,Малое предприятие,6433007247,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,9108,3212,0,0,7689,106961,0,5896,7689,13585
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРВАЯ ИНЖИНИРИНГОВАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,9102044229,41.20 Строительство жилых и нежилых зданий,91 - Республика Крым,,г Симферополь,,0,0,34595,3354,747,1523,14573,168538,0,30465,14573,45038
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРВАЯ МОНОЛИТНАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,7813271240,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,1084,814,257346,215564,332299,217428,-630,323877,270,156923,-360,156293
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРВАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,7604331583,41.20 Строительство жилых и нежилых зданий,76 - Ярославская область,,г Ярославль,,0,0,0,0,0,0,-371,58848,0,0,-371,-371
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРВАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Юридическое лицо,Среднее предприятие,3808203046,41.20 Строительство жилых и нежилых зданий,38 - Иркутская область,,г Иркутск,,0,0,107247,117667,2126,3490,201696,1852014,0,0,201696,189912
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРВАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,6912009019,41.20 Строительство жилых и нежилых зданий,69 - Тверская область,,г Нелидово,,18821,24001,45718,46297,90372,89348,-1127,52860,0,0,-6307,-5862
