-;-;880;1 127;-;-;(147);24 395
-;-;3 314 501;3 530 777;-;-;(111 733);186 438
-;-;9 166;8 832;-;-;(637);9 396
-;-;100 973;126 952;-;-;(20 312);316 699
-;-;6 712;8 459;-;-;45 043;89 893
18;18;141 757;146 551;-;-;(13 937);45 489
-;-;2 885;951;-;-;53 961;1 076 840
0;-;8 910;8 885;-;-;(2 021);22 694
-;-;23 079;23 234;-;-;(1 134);91 728
-;-;2 692;4 855;-;-;(42 815);1 246 657
-;-;9 249;10 817;11 167;13 591;(2 882);100 202
-;-;820;498;-;-;2 644 075;1 717 371
354;294;30 238;13 497;44 296;32 745;(276);64 277
68 521;67 531;10 681;42 202;93 749;126 772;(73);97 619
-;-;174 297;222 688;-;-;191 672;1 227 501
2 808;2 675;6 388;5 225;-;-;81 561;731 812
-;-;2 574;5 012;-;-;(43 351);2 242 269
-;-;357 786;391 250;-;-;969;764 552
0;19 153;135 416;306 714;-;-;(6 397);390 496
6;8;226;366;-;-;(4 630);13 180
-;-;-;-;-;-;258;3 456
-;-;194 137;165 132;-;-;76 422;2 548 445
-;-;11 450;5 100;-;-;205 375;1 637 702
24;24;42 041;42 041;71 606;71 606;-;7 130
-;-;4 185;5 367;-;-;7;7 948
-;-;181;4 477;-;-;14 625;736 098
-;-;32 163;33 521;-;-;(17 338);145 016
17;21;805 279;847 626;-;-;(31 635);165 834
-;-;6 409;6 746;-;-;135;1 457
-;-;472 280;250 452;-;-;(47 779);1 644 819
-;-;118 794;124 051;-;-;(5 219);18 453
-;-;30;54;-;-;153 068;131 786
382;382;9 026;9 142;13 715;17 880;(888);3 387
-;-;196 173;50 991;-;-;322 069;633 419
-;-;39 284;34 361;1 559;1 620;135 456;339 562
-;-;9 061;2 650;-;-;(21 629);375 670
-;-;17 293;15 494;-;-;(14 035);61 613
429;-;235 193;215 215;0;-;76 620;1 305 119
-;-;369;28 691;-;-;(48 308);69 982
-;-;2 375;184;191 731;172 906;(32 387);47 654
-;-;31 738;5 003;24 772;10 381;17 037;154 804
-;-;124 719;3 326;-;-;9 028;347 418
23 025;30 055;0;0;62 870;71 581;(50 795);69 186
-;-;93 971;63 037;-;-;32 399;237 814
-;-;3 279;4 901;-;-;(9 236);47 945
337;337;322;1 113;-;-;(800);1 142
-;-;2 718;6 488;-;-;1 706;20 225
2 198;-;220 379;293 684;251 161;303 788;(3 504);375 182
-;-;8 792;10 698;-;-;39 245;1 368 820
-;-;820 044;883 611;18 854;20 891;761 225;1 862 621
183 456;223 192;145 814;100 053;401 938;422 049;(899);96 051
-;-;16 757;20 884;115 749;121 444;39 247;483 423
12 198;12 958;4 190;28 418;51 720;65 350;(2 424);128 580
-;-;6 400;42 464;-;-;71 159;1 107 443
-;-;0;126 260;-;-;1 181;1 414 947
12 642;12 726;25 782;17 442;98 852;71 709;(862);155 649
-;-;14 716;26 614;-;-;(38 421);525 812
-;-;304 583;304 583;17 317;18 250;(12 591);52 772
-;-;64 946;90 765;-;-;(27 552);58 416
206;162;295 773;230 076;-;-;20 918;2 824 138
563;4;368 319;159 552;-;-;513 221;873 170
-;-;688 321;682 628;-;-;128 758;339 843
